DNS Resolver Log Started: 2025-10-26T15:48:39.237830
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:49.790988', 'round_trip_time': '0.2284s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'wpad', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:12.322447', 'round_trip_time': '0.2909s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:12.939910', 'round_trip_time': '0.2994s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:13.552221', 'round_trip_time': '0.3028s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:14.170081', 'round_trip_time': '0.3025s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:14.781560', 'round_trip_time': '0.2959s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:15.396268', 'round_trip_time': '0.3016s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:15.912265', 'round_trip_time': '0.2169s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:16.213511', 'round_trip_time': '0.2864s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:15.685378', 'round_trip_time': '0.2739s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:15.085233', 'round_trip_time': '0.2892s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:14.473817', 'round_trip_time': '0.2841s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:13.855246', 'round_trip_time': '0.2906s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:13.240766', 'round_trip_time': '0.2855s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:12.628795', 'round_trip_time': '0.2969s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:12.019918', 'round_trip_time': '0.1842s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:11.605335', 'round_trip_time': '0.2886s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:10.995281', 'round_trip_time': '0.2951s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:10.376589', 'round_trip_time': '0.2886s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ishidatic.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:16.521378', 'round_trip_time': '0.2921s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'minecraftserverdeals.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: greg.ns.cloudflare.com. @ Glue IP: 108.162.193.115', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:16.826101', 'round_trip_time': '0.2910s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'minecraftserverdeals.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 104.21.1.113', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:17.130924', 'round_trip_time': '0.2924s', 'total_time_to_resolution': '0.9024s', 'dns_server_ip': '108.162.193.115', 'domain_name': 'minecraftserverdeals.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:17.443725', 'round_trip_time': '0.2510s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'romney.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns53.worldnic.com. @ Glue IP: 162.159.26.165', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:17.642974', 'round_trip_time': '0.1863s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'romney.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 208.91.197.27', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:49:18.052454', 'round_trip_time': '0.4003s', 'total_time_to_resolution': '0.8601s', 'dns_server_ip': '162.159.26.165', 'domain_name': 'romney.com', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:18.359545', 'round_trip_time': '0.2441s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'gmxwnlajnl', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:18.669206', 'round_trip_time': '0.2483s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'djoncbjcmv', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:18.974388', 'round_trip_time': '0.2414s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'mptrmkwart', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:19.287239', 'round_trip_time': '0.2536s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'bookingnest.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:19.907129', 'round_trip_time': '0.3071s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns1.afternic.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:20.417574', 'round_trip_time': '0.2095s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:21.027270', 'round_trip_time': '0.2868s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:21.644122', 'round_trip_time': '0.2922s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:22.258187', 'round_trip_time': '0.2906s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:22.871880', 'round_trip_time': '0.2933s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:23.485022', 'round_trip_time': '0.2933s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:24.001720', 'round_trip_time': '0.1993s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:24.611351', 'round_trip_time': '0.2991s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:25.224546', 'round_trip_time': '0.2921s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: cns1.secureserver.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:25.536413', 'round_trip_time': '0.2968s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: cns1.secureserver.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:24.920214', 'round_trip_time': '0.2971s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: cns1.secureserver.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:24.302590', 'round_trip_time': '0.2813s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: cns1.secureserver.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:23.785430', 'round_trip_time': '0.2892s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: cns1.secureserver.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:23.177266', 'round_trip_time': '0.2917s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: cns1.secureserver.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:22.564862', 'round_trip_time': '0.2895s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: cns1.secureserver.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:21.951745', 'round_trip_time': '0.2943s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: cns1.secureserver.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:21.334950', 'round_trip_time': '0.2881s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: cns1.secureserver.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:20.725912', 'round_trip_time': '0.2972s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.55.83.30', 'domain_name': 'cns1.secureserver.net.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: cns1.secureserver.net.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:20.202883', 'round_trip_time': '0.2724s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ns1.afternic.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ns1.afternic.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:49:19.588107', 'round_trip_time': '0.2910s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'bookingnest.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: gr-m.ics.forth.gr. @ Glue IP: 194.0.4.10', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:25.805028', 'round_trip_time': '0.2502s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'metar.gr', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:26.356507', 'round_trip_time': '0.2082s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns3.no-ip.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns3.no-ip.com. @ Glue IP: 204.16.255.53', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:49:26.659399', 'round_trip_time': '0.2929s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ns3.no-ip.com.', 'cache_status': 'MISS'}
